udid,observationTime,timeDiff,eclipseType,maxEclipse,timeSubmit,totalBegins,obscuration,flying,hear,perchedAlone,perchedOthers,sing,sitting,swimming,walking,other,eating,obscuration_bins,timeDiff_bins
0022BC5E-BEF3-459E-A34B-C4FADAB415B8,during,0 days 00:00:48.833910,partial,2024-04-08 15:05:00,2024-04-08 15:04:11.166090,2024-04-08 13:47:00,0.825,False,False,True,False,True,True,False,False,False,False,0.8-0.9,"(0 days 00:00:00, 0 days 00:05:00]"
0022BC5E-BEF3-459E-A34B-C4FADAB415B8,during,0 days 00:02:39.454378,partial,2024-04-08 15:05:00,2024-04-08 15:02:20.545622,2024-04-08 13:47:00,0.825,False,True,False,False,True,False,False,False,False,False,0.8-0.9,"(0 days 00:00:00, 0 days 00:05:00]"
009A7715-A68F-4A42-998C-50EC13F86A8C,during,0 days 00:17:52.352412,partial,2024-04-08 15:00:00,2024-04-08 14:42:07.647588,2024-04-08 13:43:00,0.582,False,True,False,False,True,False,False,False,False,False,0-0.8,"(0 days 00:15:00, 0 days 01:00:00]"
009A7715-A68F-4A42-998C-50EC13F86A8C,during,0 days 00:14:27.649367,partial,2024-04-08 15:00:00,2024-04-08 14:45:32.350633,2024-04-08 13:43:00,0.582,True,False,False,True,True,True,False,False,False,False,0-0.8,"(0 days 00:05:00, 0 days 00:15:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,before,0 days 00:13:42.212315,total,2024-04-08 15:07:00,2024-04-08 14:53:17.787685,2024-04-08 15:06:00,1.0,True,False,False,False,False,False,True,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,before,0 days 00:06:03.770493500,total,2024-04-08 15:07:00,2024-04-08 15:01:30.873741,2024-04-08 15:06:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,before,0 days 00:22:25.242862,total,2024-04-08 15:07:00,2024-04-08 14:44:34.757138,2024-04-08 15:06:00,1.0,True,False,False,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,before,0 days 00:01:23.926835,total,2024-04-08 15:07:00,2024-04-08 15:05:36.073165,2024-04-08 15:06:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,during,0 days 00:01:32.259348,total,2024-04-08 15:07:00,2024-04-08 15:08:32.259348,2024-04-08 15:06:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,after,0 days 00:10:23.836823,total,2024-04-08 15:07:00,2024-04-08 15:17:23.836823,2024-04-08 15:06:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,after,0 days 00:05:02.673545,total,2024-04-08 15:07:00,2024-04-08 15:12:02.673545,2024-04-08 15:06:00,1.0,True,False,False,False,True,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,after,0 days 00:18:52.690671333,total,2024-04-08 15:07:00,2024-04-08 15:09:54.812830,2024-04-08 15:06:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
00A45886-B4B2-40AC-858F-103F9C7F0CF2,after,0 days 00:17:32.832825,total,2024-04-08 15:07:00,2024-04-08 15:24:32.832825,2024-04-08 15:06:00,1.0,False,False,False,False,False,False,False,True,False,True,1,"(0 days 00:15:00, 0 days 01:00:00]"
00DFEA28-968E-4F2F-A349-176F2E4E5D6F,before,0 days 01:04:03.821680,total,2024-04-08 15:09:00,2024-04-08 14:04:56.178320,2024-04-08 15:09:00,1.0,False,False,False,False,False,False,False,False,False,False,1,"(0 days 01:00:00, 0 days 01:30:00]"
00DFEA28-968E-4F2F-A349-176F2E4E5D6F,before,0 days 01:48:37.271919,total,2024-04-08 15:09:00,2024-04-08 13:20:22.728081,2024-04-08 15:09:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 01:30:00, 0 days 02:00:00]"
00c19814d63d427c,before,0 days 00:26:16.437591,total,2024-04-08 15:07:00,2024-04-08 14:40:43.562409,2024-04-08 15:05:00,1.0,True,False,True,False,True,True,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
